estado,nome,data,cidade,distancias,organizador,link_corrida,link_oficial
AP,,11/01/2026,,10/5km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=51820&1%AA%20Corrida%20Kenio,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=51820&1%AA%20Corrida%20Kenio
AP,,11/01/2026,,10/5 Milhas,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=46229&Virgulino%20Run%2010%20Milhas,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=46229&Virgulino%20Run%2010%20Milhas
AP,,15/01/2026,,,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52468&Corrida%20Antirracistas%20Running,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52468&Corrida%20Antirracistas%20Running
AP,,15/01/2026,,,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=50955&Run2Fun,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=50955&Run2Fun
AP,,17/01/2026,,5km,Jailan Queiroz,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52476&Trein%E3o%20Profit%20e%20Qj%20Run,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52476&Trein%E3o%20Profit%20e%20Qj%20Run
AP,,18/01/2026,,,COJAB,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=51260&2%AA%20Corrida%20COJAB,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=51260&2%AA%20Corrida%20COJAB
AP,,18/01/2026,,5km,MS Sports,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=51750&1%AA%20Corrida%20do%20Laborat%F3rio%20Neocentro,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=51750&1%AA%20Corrida%20do%20Laborat%F3rio%20Neocentro
AP,,18/01/2026,,10/5km,Boni Run,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52067&Corrida%20Flor%20Bonina%202026,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52067&Corrida%20Flor%20Bonina%202026
AP,,18/01/2026,,5km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52205&Circuito%20do%20Sol,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52205&Circuito%20do%20Sol
AP,,18/01/2026,,10/5km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=51311&Climinha%20Run,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=51311&Climinha%20Run
AP,,18/01/2026,,10/5km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=47352&4%AA%20Corrida%20R%FAstica%20do%20Bonfim,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=47352&4%AA%20Corrida%20R%FAstica%20do%20Bonfim
AP,,18/01/2026,,5/3km,Arthur Felipe Cabral,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52631&Jacobina%20Gospel%20Run%202026,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52631&Jacobina%20Gospel%20Run%202026
AP,,18/01/2026,,5km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=48288&1%AA%20Corrida%20da%20Capital%20do%20Umb%FA,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=48288&1%AA%20Corrida%20da%20Capital%20do%20Umb%FA
AP,,18/01/2026,,10/5km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52215&Corre%20Salinas,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52215&Corre%20Salinas
AP,,18/01/2026,,5/3km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=50957&5%BA%20Trein%E3o%20Corre%20B%EAn%E7%E3o,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=50957&5%BA%20Trein%E3o%20Corre%20B%EAn%E7%E3o
AP,,18/01/2026,,10/5km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52206&Climinha%20Run,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52206&Climinha%20Run
AP,,18/01/2026,,10/5km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=48589&Corrida%20Corre%20Crist%E3o,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=48589&Corrida%20Corre%20Crist%E3o
AP,,18/01/2026,,,Marcos Evaristo de Oliveira Cerqueira,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52474&1%AA%20Corrida%20Nova%20Farma,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52474&1%AA%20Corrida%20Nova%20Farma
AP,,18/01/2026,,10/5km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52062&Dark%20Run,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52062&Dark%20Run
AP,,24/01/2026,,21/10/5km,Joseni Teixeira Rocha,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=51644&Itaitu%20Eco%20Run%20-%20IX%20Edi%E7%E3o,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=51644&Itaitu%20Eco%20Run%20-%20IX%20Edi%E7%E3o
AP,,24/01/2026,,6km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52264&CrossBeer%20Run%20Challenge,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52264&CrossBeer%20Run%20Challenge
AP,,25/01/2026,,5km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52207&3%BA%20Trein%E3o%20nos%20Bairros,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52207&3%BA%20Trein%E3o%20nos%20Bairros
AP,,25/01/2026,,10/5km,Gil Bala,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=51876&1%AA%20Corrida%20R%FAstica%20de%20Santana%20do%20Sobrado,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=51876&1%AA%20Corrida%20R%FAstica%20de%20Santana%20do%20Sobrado
AP,,25/01/2026,,10/5km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=49343&Euna%20Running%202026,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=49343&Euna%20Running%202026
AP,,25/01/2026,,5/3km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52057&Trein%E3o%20Jacu%EDpe%20Run,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52057&Trein%E3o%20Jacu%EDpe%20Run
AP,,25/01/2026,,5km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52645&4%AA%20Corrida%20de%20Reis,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52645&4%AA%20Corrida%20de%20Reis
AP,,25/01/2026,,5km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52208&Trein%E3o%20Corre%20Nacci%20Run,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52208&Trein%E3o%20Corre%20Nacci%20Run
AP,,25/01/2026,,7km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=51262&1%AA%20Corrida%20Sa%FAde%20em%20Movimento,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=51262&1%AA%20Corrida%20Sa%FAde%20em%20Movimento
AP,,25/01/2026,,10/5km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=51775&P%E9%20de%20SerraRun,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=51775&P%E9%20de%20SerraRun
AP,,25/01/2026,,21/10/5km,Club da Corrida,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=42495&VI%20Desafio%20Rock%B4n%B4Roll%20Club%202026,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=42495&VI%20Desafio%20Rock%B4n%B4Roll%20Club%202026
AP,,31/01/2026,,10/5km,Marco Lacerda,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52209&9%AA%20Corrida%20Asa%20Branca,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52209&9%AA%20Corrida%20Asa%20Branca
AP,,31/01/2026,,10/5km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=50958&Trein%E3o%20Runnners%20Fantasy%20-%206%AA%20Edi%E7%E3o,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=50958&Trein%E3o%20Runnners%20Fantasy%20-%206%AA%20Edi%E7%E3o
AP,,01/02/2026,,10km,Maerlon Santos de Oliveira,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=49156&Assessoria%20Esportiva%20Maerlon%20Coach%2010%20Anos,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=49156&Assessoria%20Esportiva%20Maerlon%20Coach%2010%20Anos
AP,,01/02/2026,,6km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=50966&Corrida%20da%20Elite%20Ver%E3o,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=50966&Corrida%20da%20Elite%20Ver%E3o
AP,,01/02/2026,,10/5km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52068&1%B0%20Corrida%20de%20Rua%20e%20Rach%E3o%20de%20Bike,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52068&1%B0%20Corrida%20de%20Rua%20e%20Rach%E3o%20de%20Bike
AP,,01/02/2026,,5km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52069&Movimenta%20Jucuru%E7u,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52069&Movimenta%20Jucuru%E7u
AP,,01/02/2026,,5km,MP3 Produções,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52469&Corre%20Carnaval%20Folia%202026,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52469&Corre%20Carnaval%20Folia%202026
AP,,01/02/2026,,10/5km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=50454&XiqueRun%202026,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=50454&XiqueRun%202026
AP,,07/02/2026,,5km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52180&Corre%20Mix,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52180&Corre%20Mix
AP,,07/02/2026,,"4,8km",Jardel Moura Assessoria Esportiva,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=51608&Manu%20Folia%20Run,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=51608&Manu%20Folia%20Run
AP,,08/02/2026,,4km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=49675&II%20Corrida%20Solid%E1ria%20UNEB%20Barreiras,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=49675&II%20Corrida%20Solid%E1ria%20UNEB%20Barreiras
AP,,08/02/2026,,4km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=50291&II%20Trilha%20Solid%E1ria%20da%20UNEB,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=50291&II%20Trilha%20Solid%E1ria%20da%20UNEB
AP,,08/02/2026,,5km,Alexandre de Jesus silva,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52179&Narkfit%20Run,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52179&Narkfit%20Run
AP,,22/02/2026,,5/3km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52065&Corrida%20Solid%E1ria%20do%20Projeto%20Resgatando%20a%20Auto%20Estima,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52065&Corrida%20Solid%E1ria%20do%20Projeto%20Resgatando%20a%20Auto%20Estima
AP,,28/02/2026,,42/21/12/6km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52070&Trail%20Run%20do%20Descobrimento,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52070&Trail%20Run%20do%20Descobrimento
AP,,01/03/2026,,5km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52211&3%BA%20Circuito%20Corre%20Fofo,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52211&3%BA%20Circuito%20Corre%20Fofo
AP,,01/03/2026,,10/5km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=45364&2%AA%20Corrida%20Um%20Grito%20contra%20o%20Feminic%EDdio,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=45364&2%AA%20Corrida%20Um%20Grito%20contra%20o%20Feminic%EDdio
AP,,01/03/2026,,14/7km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52058&BarbaRun,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52058&BarbaRun
AP,,01/03/2026,,10/5km,RS Sports,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52210&1%AA%20Corrida%20do%20Bah%EAa%20-%20Serrinha,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52210&1%AA%20Corrida%20do%20Bah%EAa%20-%20Serrinha
AP,,08/03/2026,,35/14/6km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=51313&Triade%20Trail%20Run%202026,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=51313&Triade%20Trail%20Run%202026
AP,,08/03/2026,,5km,CW Fisioterapia,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52478&8%AA%20Corrida%20para%20Mulheres,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52478&8%AA%20Corrida%20para%20Mulheres
AP,,08/03/2026,,10/5km,Sananga Produtos Naturais e Leo Maratonista,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=50453&2%AA%20Corrida%20Sananga,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=50453&2%AA%20Corrida%20Sananga
AP,,08/03/2026,,10/5km,Tiago Ramos,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52652&Corrida%20Delas%202026,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52652&Corrida%20Delas%202026
AP,,08/03/2026,,10/5km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=49839&Flor%20de%20A%E7o,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=49839&Flor%20de%20A%E7o
AP,,08/03/2026,,10/5km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=44344&Elite%20Running%20-%206%AA%20Edi%E7%E3o,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=44344&Elite%20Running%20-%206%AA%20Edi%E7%E3o
AP,,08/03/2026,,5km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52181&2%AA%20Corrida%20Gera%E7%E3o%20Campe%E3,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52181&2%AA%20Corrida%20Gera%E7%E3o%20Campe%E3
AP,,08/03/2026,,10/5km,AUGB,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=51594&5%BA%20Circuito%20Running%20S%F3%20para%20Elas,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=51594&5%BA%20Circuito%20Running%20S%F3%20para%20Elas
AP,,08/03/2026,,10/5km,AUGB,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=51645&5%BA%20Circuito%20Running%20S%F3%20para%20Elas,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=51645&5%BA%20Circuito%20Running%20S%F3%20para%20Elas
AP,,08/03/2026,,5km,Club da Corrida,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=48283&IX%20Corrida%20da%20Mulher%20Club,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=48283&IX%20Corrida%20da%20Mulher%20Club
AP,,14/03/2026,,10/5km,Rede Alpha Fitness,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=50956&4%AA%20Corrida%20Alpha%20Night%20Run,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=50956&4%AA%20Corrida%20Alpha%20Night%20Run
AP,,15/03/2026,,5/3km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52059&Trein%E3o%20Jacu%EDpe%20Run,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52059&Trein%E3o%20Jacu%EDpe%20Run
AP,,15/03/2026,,8/5km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52479&2%AA%20Corrida%20da%20Cidade,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52479&2%AA%20Corrida%20da%20Cidade
AP,,15/03/2026,,10/5km,Jardel Moura Assessoria Esportiva,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52607&Corrida%20do%20Vieira,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52607&Corrida%20do%20Vieira
AP,,15/03/2026,,5km,Celso Silva,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52470&Corrida%20e%20Caminhada%20Fazendo%20Meu%20Dif%EDcil,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52470&Corrida%20e%20Caminhada%20Fazendo%20Meu%20Dif%EDcil
AP,,15/03/2026,,18/9/5km,TF Sports,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52761&Santander%20Track&Fields%20Run%20Series%20-%20Salvador%20Shopping,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52761&Santander%20Track&Fields%20Run%20Series%20-%20Salvador%20Shopping
AP,,15/03/2026,,10/5km,Izadora Góes Viana,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=51772&4%AA%20Corrida%20Santaluz%20Run%20Circuito%20Izadora%20G%F3es,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=51772&4%AA%20Corrida%20Santaluz%20Run%20Circuito%20Izadora%20G%F3es
AP,,15/03/2026,,10/5km,Vax Assessoria,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52253&City%20Run%20Teixeira%20de%20Freitas,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52253&City%20Run%20Teixeira%20de%20Freitas
AP,,15/03/2026,,21/10/5km,Márcio Lanuzi Eventos,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=48284&Meia%20Maratona%A0de%20Conquista,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=48284&Meia%20Maratona%A0de%20Conquista
AP,,21/03/2026,,10/5km,Oakberry Barreiras,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=51261&2%AA%20Corrida%20das%20%C1guas%20Oakberry,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=51261&2%AA%20Corrida%20das%20%C1guas%20Oakberry
AP,,22/03/2026,,10/5km,Grupo Correndo para Viver,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52498&Trilha%20Encantada,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52498&Trilha%20Encantada
AP,,22/03/2026,,5km,MS Sports,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=50192&1%AA%20Corrida%20da%2094%AA%20CIPM%20-%20Guardi%E3%20do%20Alto%20Sert%E3o,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=50192&1%AA%20Corrida%20da%2094%AA%20CIPM%20-%20Guardi%E3%20do%20Alto%20Sert%E3o
AP,,22/03/2026,,10/5km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=50959&4%AA%20Corrida%20do%20Le%E3o,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=50959&4%AA%20Corrida%20do%20Le%E3o
AP,,22/03/2026,,10/5km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52060&S%E1tiro%20Corre,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52060&S%E1tiro%20Corre
AP,,28/03/2026,,5km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52212&Corrida%20Noturna%20da%20Mulher,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52212&Corrida%20Noturna%20da%20Mulher
AP,,29/03/2026,,5km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=50452&Guanambi%20Running%205K,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=50452&Guanambi%20Running%205K
AP,,29/03/2026,,10/5 Milhas,Jardel Moura Assessoria Esportiva,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52606&Salvador%2010%20Milhas%202026,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52606&Salvador%2010%20Milhas%202026
AP,,12/04/2026,,,Cintea,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52480&Autismo%20Sert%E3o%20Run%20Cintea%202026,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52480&Autismo%20Sert%E3o%20Run%20Cintea%202026
AP,,12/04/2026,,13/10/5km,Norte Mktg Esportivo,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52915&Circuito%20das%20Esta%E7%F5es%20-%20Outono,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52915&Circuito%20das%20Esta%E7%F5es%20-%20Outono
AP,,12/04/2026,,15/10/5km,Instituto Eu Vivo Live,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52835,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52835
AP,,18/04/2026,,5km,Vida Sport,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=50975&Meia%20Maratona%20De%20Porto%20Seguro%20-%205k,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=50975&Meia%20Maratona%20De%20Porto%20Seguro%20-%205k
AP,,19/04/2026,,10/5km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52477&3%AA%20Corrida%20da%20Gigante,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52477&3%AA%20Corrida%20da%20Gigante
AP,,19/04/2026,,21/10km,Vida Sport,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=50974&Meia%20Maratona%20De%20Porto%20Seguro%20-%202026%20Vida%20Sport,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=50974&Meia%20Maratona%20De%20Porto%20Seguro%20-%202026%20Vida%20Sport
AP,,26/04/2026,,10/5km,Grupo Correndo para Viver,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=43803&Trilha%20Encantada,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=43803&Trilha%20Encantada
AP,,26/04/2026,,21/10/5km,MP3 Produções,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52471&21k%20Salvador%202026,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52471&21k%20Salvador%202026
AP,,26/04/2026,,50/21/10/5km,Wesley Costa,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=46228&WLF%20Ultra%20Trail%202026,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=46228&WLF%20Ultra%20Trail%202026
AP,,01/05/2026,,10/5km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=48286&1%AA%20Corrida%20do%20Trabalhador,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=48286&1%AA%20Corrida%20do%20Trabalhador
AP,,17/05/2026,,10/5km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=41886&Borboletas%20Running%202026%20-%20Se%20prepare%20pra%20voar,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=41886&Borboletas%20Running%202026%20-%20Se%20prepare%20pra%20voar
AP,,24/05/2026,,Variado,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=49719&Maratona%20Farol%20a%20Farol%202026,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=49719&Maratona%20Farol%20a%20Farol%202026
AP,,31/05/2026,,6km,Instituto Eu Vivo Live,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52844,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52844
AP,,31/05/2026,,10/5km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52472&4%AA%20Corrida%20do%20Bah%EAa,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52472&4%AA%20Corrida%20do%20Bah%EAa
AP,,06/06/2026,,100/10/5km,Izaias Gonçalves,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=24839&Ultra%20100k%20BA%20052%20-%205%AA%20Edi%E7%E3o,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=24839&Ultra%20100k%20BA%20052%20-%205%AA%20Edi%E7%E3o
AP,,13/06/2026,,6km,Catedral São João Batista,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=48562&V%20Corrida%20S%E3o%20Jo%E3o%20Batista,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=48562&V%20Corrida%20S%E3o%20Jo%E3o%20Batista
AP,,13/06/2026,,5km,Sport Ativo e Lessa Running,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=48280&Xamego%20Night%20Run,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=48280&Xamego%20Night%20Run
AP,,18/07/2026,,21/11/5km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52635&Circuito%20do%20Vinho%202026,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52635&Circuito%20do%20Vinho%202026
AP,,19/07/2026,,15/10/5km,Norte Mktg Esportivo,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52916&Circuito%20das%20Esta%E7%F5es%20-%20Inverno,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52916&Circuito%20das%20Esta%E7%F5es%20-%20Inverno
AP,,19/07/2026,,7km,Adriano Santana Calistenia,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=49350&V%20Corrida%20Anime%20Club%202025,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=49350&V%20Corrida%20Anime%20Club%202025
AP,,26/07/2026,,10/5km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=49351&Reset%20Run,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=49351&Reset%20Run
AP,,02/08/2026,,5km,Agenor Carvalho Netto,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=49349&Corrida%20Bote%20Esclerose%20M%FAltipla%20para%20Correr,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=49349&Corrida%20Bote%20Esclerose%20M%FAltipla%20para%20Correr
AP,,02/08/2026,,6km,CT Gil Correa,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=48779&Corrida%20das%20%C1guas%20-%203%AA%20Edi%E7%E3o,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=48779&Corrida%20das%20%C1guas%20-%203%AA%20Edi%E7%E3o
AP,,09/08/2026,,10/5km,TF Sports,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52787&Santander%20Track&Fields%20Run%20Series%20-%20Shopping%20Barra,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52787&Santander%20Track&Fields%20Run%20Series%20-%20Shopping%20Barra
AP,,15/08/2026,,10/5km,JP Training,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=49353&Feira%20Wine%20Run,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=49353&Feira%20Wine%20Run
AP,,16/08/2026,,10/5km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52653&3%AA%20Corrida%20da%20APAE%20Paulo%20Afonso,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52653&3%AA%20Corrida%20da%20APAE%20Paulo%20Afonso
AP,,23/08/2026,,5km,,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52061&Corrida%20Nosso%20Filho%20Amado,https://www.corridasbr.com.br/ap/mostracorrida.asp?escolha=52061&Corrida%20Nosso%20Filho%20Amado
