estado,nome,data,cidade,distancias,organizador,link_corrida,link_oficial
SP,Rusticana Beer Run,24/01/2026,,3km,,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=50857&Rusticana%20Beer%20Run,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=50857&Rusticana%20Beer%20Run
SP,Ovagirls Run para Mulheres,24/01/2026,,6/3km,Fernando Guerreiro,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=52999&Ovagirls%20Run%20para%20Mulheres,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=52999&Ovagirls%20Run%20para%20Mulheres
SP,2ª Meia Maratona Ferreira Run,25/01/2026,,21/10/5km,Superando Treinos e Eventos,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=51546&2%AA%20Meia%20Maratona%20Ferreira%20Run,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=51546&2%AA%20Meia%20Maratona%20Ferreira%20Run
SP,9ª Corrida Da Floresta,25/01/2026,,7km,TVCom Running,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=52142&9%AA%20Corrida%20Da%20Floresta,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=52142&9%AA%20Corrida%20Da%20Floresta
SP,Trail Run Villa Harmonia,25/01/2026,,5km,,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=50854&Trail%20Run%20Villa%20Harmonia,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=50854&Trail%20Run%20Villa%20Harmonia
SP,Corrida de Rua MOVRun,25/01/2026,,10/5/2km,MOV+ CT,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=53033&Corrida%20de%20Rua%20MOVRun,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=53033&Corrida%20de%20Rua%20MOVRun
SP,Corrida de Verão 2026,25/01/2026,,5km,Laura Almeida Silva de Lima,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=50896&Corrida%20de%20Ver%E3o%202026,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=50896&Corrida%20de%20Ver%E3o%202026
SP,Run Solidário Itapuí,25/01/2026,,5km,,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=52347&Run%20Solid%E1rio%20Itapu%ED,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=52347&Run%20Solid%E1rio%20Itapu%ED
SP,Circuito das Estações Experience,25/01/2026,,10/5km,BR10 Sports,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=50895&Circuito%20das%20Esta%E7%F5es%20Experience,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=50895&Circuito%20das%20Esta%E7%F5es%20Experience
SP,3ª Corrida do 50º BPMI,25/01/2026,,6km,Raveli Sports,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=52190&3%AA%20Corrida%20do%2050%BA%20BPMI,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=52190&3%AA%20Corrida%20do%2050%BA%20BPMI
